optimizer,batch_size,lr,test_loss,test_acc,test_auc,best_val_auc
SGD,16,0.1,0.4833588092053523,0.7868852615356445,0.8252164502164503,0.9191919191919192
SGD,16,0.01,0.9295059393663876,0.7704917788505554,0.9264069264069263,0.9494949494949495
SGD,16,0.001,0.3157762506457626,0.8360655903816223,0.9534632034632035,0.9074074074074074
SGD,16,0.0001,0.6050505970345169,0.8032786846160889,0.9123376623376623,0.7996632996632997
SGD,16,1e-05,0.7002953554763168,0.4098360538482666,0.3928571428571429,0.3080808080808081
SGD,32,0.1,0.6452908037138767,0.8032786846160889,0.8917748917748918,0.9158249158249159
SGD,32,0.01,0.4786969179012736,0.868852436542511,0.948051948051948,0.9141414141414143
SGD,32,0.001,0.30210738885598104,0.8852459192276001,0.9632034632034633,0.9242424242424243
SGD,32,0.0001,0.6765391728917106,0.5573770403862,0.791125541125541,0.7777777777777778
SGD,32,1e-05,0.6945374256274739,0.5409836173057556,0.48268398268398266,0.4663299663299663
SGD,64,0.1,0.6728550791740417,0.5409836173057556,0.5270562770562771,0.9444444444444444
SGD,64,0.01,0.421247661113739,0.7704917788505554,0.906926406926407,0.9393939393939393
SGD,64,0.001,0.3880598843097687,0.9180327653884888,0.9523809523809523,0.8804713804713805
SGD,64,0.0001,0.685724675655365,0.5245901346206665,0.7532467532467533,0.5824915824915825
SGD,64,1e-05,0.7081278562545776,0.4590163826942444,0.4816017316017316,0.5404040404040404
Adam,16,0.1,0.7652664985813078,0.7377049326896667,0.7813852813852814,0.9191919191919191
Adam,16,0.01,1.1777406180979775,0.7704917788505554,0.9215367965367964,0.9107744107744108
Adam,16,0.001,0.42263166093435445,0.8360655903816223,0.9534632034632033,0.9225589225589226
Adam,16,0.0001,0.3116977903686586,0.868852436542511,0.9567099567099567,0.9242424242424243
Adam,16,1e-05,0.6461285333164403,0.7213114500045776,0.9361471861471862,0.8720538720538721
Adam,32,0.1,1.4667970489283078,0.8196721076965332,0.8836580086580086,0.9158249158249158
Adam,32,0.01,1.1386959670019932,0.8196721076965332,0.9415584415584415,0.930976430976431
Adam,32,0.001,0.3205467877817936,0.8852459192276001,0.9632034632034632,0.9326599326599327
Adam,32,0.0001,0.39097856840149303,0.8852459192276001,0.9642857142857143,0.9141414141414141
Adam,32,1e-05,0.6676128086496572,0.5737704634666443,0.7326839826839826,0.7121212121212122
Adam,64,0.1,1.3892557621002197,0.868852436542511,0.9323593073593073,0.9326599326599327
Adam,64,0.01,0.9168741703033447,0.7868852615356445,0.922077922077922,0.930976430976431
Adam,64,0.001,0.3077242076396942,0.868852436542511,0.9534632034632035,0.920875420875421
Adam,64,0.0001,0.5967139601707458,0.7868852615356445,0.9307359307359307,0.8636363636363636
Adam,64,1e-05,0.6893859505653381,0.5901639461517334,0.5140692640692641,0.5909090909090909
RMSprop,16,0.1,1.8672393853547142,0.6721311211585999,0.6260822510822511,0.9318181818181819
RMSprop,16,0.01,1.4239751315507732,0.8196721076965332,0.9393939393939393,0.9225589225589226
RMSprop,16,0.001,0.49927149200048604,0.8196721076965332,0.9556277056277056,0.9242424242424243
RMSprop,16,0.0001,0.29939039906517406,0.868852436542511,0.9632034632034632,0.9208754208754208
RMSprop,16,1e-05,0.672717417849869,0.4590163826942444,0.8766233766233766,0.8131313131313131
RMSprop,32,0.1,0.9250301943450677,0.8196721076965332,0.889069264069264,0.9074074074074074
RMSprop,32,0.01,0.855554778067792,0.7868852615356445,0.9134199134199134,0.9309764309764311
RMSprop,32,0.001,0.33502318966584127,0.868852436542511,0.9523809523809523,0.9276094276094277
RMSprop,32,0.0001,0.44202271348140276,0.8524590134620667,0.9318181818181819,0.9006734006734006
RMSprop,32,1e-05,0.6780383127634643,0.5409836173057556,0.698051948051948,0.6414141414141414
RMSprop,64,0.1,1.0562140941619873,0.9016393423080444,0.9329004329004329,0.9208754208754208
RMSprop,64,0.01,1.6774578094482422,0.8196721076965332,0.939935064935065,0.9141414141414141
RMSprop,64,0.001,0.3261106610298157,0.8360655903816223,0.9534632034632035,0.9393939393939394
RMSprop,64,0.0001,0.5827584266662598,0.8524590134620667,0.9383116883116883,0.8619528619528619
RMSprop,64,1e-05,0.6995114088058472,0.39344263076782227,0.4848484848484848,0.49326599326599335
